Dialogue ID	Dialogue	Go To	Camera
G01	Thank Hercules Beetle! You're awake!	G02	0
G02	The Big One is getting home soon...	G03	0
G03	We gotta move! Follow me!	END	0
G04	These termites are destroying the home...	G05	0
G05	"Press space to eat them up, then use your web bridge to follow me!"	END	0
G06	"I think I saw your baby girl way up high... Gwen, right? What's she doing up there?"	G07	1
G07	We better go get her before Big One sees her.	END	0
G08	"I can fly across this gap, but it looks too big for you to spin a bridge across."	G09	0
G09	Maybe you can pull one of the Big One's boxes with that strong web of yours?	END	0
G10	You did it!! Gwen is just ahead.	G11	0
G11	Press space to let her ride on your back!	END	0
G12	You can pull some items with your web rope...	G13	0
G13	"Click to spin the rope, click again to pull towards you, and right click to disengage."	END	0
